Time(s),KS_voltage(V),Pressure_voltage(V)
0.30799999,1.47411725044,0.20712352
0.30899999,1.4784233532,0.20712352
0.30999999,1.45254059982,0.20712352
0.31099999,1.46547428894,0.20712352
0.31199999,1.46979576874,0.20712352
0.31299999,1.47411725044,0.20712352
0.31399999,1.45254059982,0.20712352
0.31499999,1.46979576874,0.20712352
0.31599999,1.5172551651,0.20712352
0.31699999,1.46547428894,0.20712352
0.31799999,1.4956938982,0.20712352
0.31899999,1.46116818619,0.20712352
0.31999999,1.49137241745,0.20712352
0.32099999,1.5,0.20712352
0.32199999,1.4784233532,0.20712352
0.32299999,1.4870663147,0.20712352
0.32399999,1.50862758255,0.20712352
0.32499999,1.50862758255,0.20712352
0.32599999,1.46116818619,0.20712352
0.32699999,1.4870663147,0.20712352
0.32799999,1.49137241745,0.20712352
0.32899999,1.50862758255,0.20712352
0.32999999,1.4784233532,0.20712352
0.33099999,1.4827448349,0.1898376
0.33199999,1.5043061018,0.20712352
0.33299999,1.50862758255,0.20712352
0.33399999,1.49137241745,0.20712352
0.33499999,1.4870663147,0.20712352
0.33599999,1.53020423126,0.20712352
0.33699999,1.5129336853,0.20712352
0.33799999,1.5215766468,0.20712352
0.33899999,1.5043061018,0.20712352
0.33999999,1.54745940018,0.20712352
0.34099999,1.54745940018,0.20712352
0.34199999,1.53452571106,0.20712352
0.34299999,1.53883181381,0.20712352
0.34399999,1.55178087616,0.20712352
0.34499999,1.54315329361,0.20712352
0.34599999,1.50862758255,0.20712352
0.34699999,1.53883181381,0.20712352
0.34799999,1.53452571106,0.20712352
0.34899999,1.54745940018,0.20712352
0.34999999,1.5215766468,0.20712352
0.35099999,1.53020423126,0.20712352
0.35199999,1.53020423126,0.20712352
0.35299999,1.5172551651,0.20712352
0.35399999,1.5172551651,0.20712352
0.35499999,1.5215766468,0.20712352
0.35599999,1.56040846252,0.20712352
0.35699999,1.5129336853,0.20712352
0.35799999,1.5172551651,0.20712352
0.35899999,1.4956938982,0.20712352
0.35999999,1.55178087616,0.20712352
0.36099999,1.53883181381,0.20712352
0.36199999,1.5215766468,0.20712352
0.36299999,1.53452571106,0.20712352
0.36399999,1.53452571106,0.20712352
0.36499999,1.54315329361,0.20712352
0.36599999,1.4956938982,0.20712352
0.36699999,1.53883181381,0.20712352
0.36799999,1.52588274956,0.20712352
0.36899999,1.54315329361,0.20712352
0.36999999,1.5129336853,0.20712352
0.37099999,1.5129336853,0.20712352
0.37199999,1.5215766468,0.20712352
0.37299999,1.5129336853,0.20712352
0.37399999,1.4827448349,0.20712352
0.37499999,1.46979576874,0.20712352
0.37599999,1.55178087616,0.20712352
0.37699999,1.5,0.20712352
0.37799999,1.5129336853,0.20712352
0.37899999,1.49137241745,0.20712352
0.37999999,1.5215766468,0.20712352
0.38099999,1.5,0.20712352
0.38199999,1.49137241745,0.20712352
0.38299999,1.49137241745,0.20712352
0.38399999,1.50862758255,0.20712352
0.38499999,1.5,0.20712352
0.38599999,1.45254059982,0.20712352
0.38699999,1.4956938982,0.20712352
0.38799999,1.4784233532,0.20712352
0.38899999,1.49137241745,0.20712352
0.38999999,1.46547428894,0.20712352
0.39099999,1.4784233532,0.20712352
0.39199999,1.4784233532,0.20712352
0.39299999,1.4784233532,0.20712352
0.39399999,1.47411725044,0.20712352
0.39499999,1.45684670639,0.20712352
0.39599999,1.50862758255,0.20712352
0.39699999,1.49137241745,0.20712352
0.39799999,1.49137241745,0.20712352
0.39899999,1.47411725044,0.20712352
0.39999999,1.50862758255,0.20712352
0.40099999,1.4870663147,0.20712352
0.40199999,1.4870663147,0.20712352
0.40299999,1.4870663147,0.20712352
0.40399999,1.5,0.20712352
0.40499999,1.5043061018,0.20712352
0.40599999,1.45684670639,0.20712352
0.40699999,1.4956938982,0.20712352
0.40799999,1.4827448349,0.20712352
0.40899999,1.5,0.20712352
0.40999999,1.46116818619,0.20712352
0.41099999,1.46979576874,0.20712352
0.41199999,1.4827448349,0.20712352
0.41299999,1.4827448349,0.20712352
0.41399999,1.46979576874,0.20712352
0.41499999,1.4784233532,0.20712352
0.41599999,1.5,0.20712352
0.41699999,1.46979576874,0.20712352
0.41799999,1.4870663147,0.20712352
0.41899999,1.46116818619,0.20712352
0.41999999,1.5043061018,0.20712352
0.42099999,1.5,0.20712352
0.42199999,1.4870663147,0.20712352
0.42299999,1.4956938982,0.20712352
0.42399999,1.4956938982,0.20712352
0.42499999,1.4956938982,0.1898376
0.42599999,1.44821912384,0.20712352
0.42699999,1.5043061018,0.20712352
0.42799999,1.4827448349,0.20712352
0.42899999,1.50862758255,0.20712352
0.42999999,1.4827448349,0.20712352
0.43099999,1.49137241745,0.20712352
0.43199999,1.5043061018,0.20712352
0.43299999,1.4956938982,0.20712352
0.43399999,1.47411725044,0.20712352
0.43499999,1.4784233532,0.20712352
0.43599999,1.54745940018,0.20712352
0.43699999,1.49137241745,0.20712352
0.43799999,1.5129336853,0.20712352
0.43899999,1.5043061018,0.20712352
0.43999999,1.53020423126,0.20712352
0.44099999,1.5215766468,0.20712352
0.44199999,1.50862758255,0.20712352
0.44299999,1.53883181381,0.20712352
0.44399999,1.54745940018,0.20712352
0.44499999,1.56040846252,0.20712352
0.44599999,1.5,0.20712352
0.44699999,1.55178087616,0.20712352
0.44799999,1.5215766468,0.20712352
0.44899999,1.54745940018,0.20712352
0.44999999,1.5129336853,0.20712352
0.45099999,1.5172551651,0.20712352
0.45199999,1.53020423126,0.20712352
0.45299999,1.50862758255,0.20712352
0.45399999,1.5,0.20712352
0.45499999,1.5172551651,0.20712352
0.45599999,1.56905142212,0.20712352
0.45699999,1.5043061018,0.20712352
0.45799999,1.52588274956,0.20712352
0.45899999,1.5129336853,0.20712352
0.45999999,1.54745940018,0.20712352
0.46099999,1.53452571106,0.20712352
0.46199999,1.5172551651,0.20712352
0.46299999,1.53020423126,0.20712352
0.46399999,1.5172551651,0.20712352
0.46499999,1.5215766468,0.20712352
0.46599999,1.4870663147,0.20712352
0.46699999,1.53020423126,0.20712352
0.46799999,1.49137241745,0.20712352
0.46899999,1.5172551651,0.20712352
0.46999999,1.4784233532,0.20712352
0.47099999,1.49137241745,0.20712352
0.47199999,1.49137241745,0.20712352
0.47299999,1.4784233532,0.20712352
0.47399999,1.49137241745,0.20712352
